material	A	A'	B	parentA	parentA'	parentB	T	d_star	k_star	ead	eak	e affinity(A)	e affinity(B)	A-site radius	B-site radius	Dopant r Diff (A)	Dopant r Diff (B)	B cation	d-electron count (B)	t_factor	a_site_electronegativity	b_site_electronegativity	electro_diff	family	somethingelse
GdBaCo_2O_(5+x)	{'Gd':1}	{'Ba':1}	{'Co':1}	Gd	Ba	Co	1000	1.80E-09	1.20E-06	0.6	0.81	0.14081	0.66333	/	/	/	/	-	/	/	/	/	/	Double Perovskite	
La_(0.8)Sr_(0.2)CoO_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Co':1}	La	-	Co	1000	2.40E-10	1.80E-07	2.2	1.3	0.3864	0.66333	1.376	0.545	-0.016	0	Co3+	6	0.984863968	1.07	1.88	-0.81	Perovskite	
La_(0.8)Sr_(0.2)Mn_(0.5)Co_(0.5)O_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.5, 'Co':0.5}	La	-	-	1000	5.90E-14	8.4E-09	2.7E+00	1.2	0.3864	-0.168335	1.376	0.5575	-0.016	0.0125	.5*Mn3+/.5*Co3+	5	0.97821686	1.07	1.715	-0.645	Perovskite	
La_(0.8)Sr_(0.2)Mn_(0.7)Co_(0.3)O_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.7, 'Co':0.3}	La	-	-	1000	6.30E-15	1.5E-09	3.0E+00	1.7	0.3864	-0.501001	1.376	0.5625	-0.016	0.0075	0.7*Mn3+/0.3*Co3+	4.6	0.975558017	1.07	1.649	-0.579	Perovskite	
La_(0.8)Sr_(0.2)Mn_(0.8)Co_(0.2)O_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.8, 'Co':0.2}	La	-	-	1000	6.20E-16	5.3E-10	3.5E+00	2.1	0.3864	-0.667334	1.376	0.565	-0.016	0.005	0.8*Mn3+/0.2*Co3+	4.4	0.974228595	1.07	1.616	-0.546	Perovskite	
La_(0.8)Sr_(0.2)MnO_(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	-	1000	8.90E-16	1.5E-09	2.8E+00	1.3	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.971569752	1.07	1.55	-0.48	Perovskite	
La(0.5)Sr(0.5)CoO(3+x)	{'La':0.5, 'Sr':0.5}	-	{'Co':1}	La	-	Co	1000	2.30E-08	5.60E-06	1.40E+00	0.81	0.261	0.66333	1.4	0.545	-0.04	0	Co3+	6	1.005731028	1.025	1.88	-0.855	Perovskite	
La(0.5)Sr(0.5)Mn(0.8)Co(0.2)O(3+x)	{'La':0.5, 'Sr':0.5}	-	{'Mn':0.8, 'Co':0.2}	La	-	-	1000	5.90E-14	1.30E-08	2.94E+00	1.05	0.261	-0.667334	1.4	0.565	-0.04	0.005	0.8*Mn3+/0.2*Co3+	4.4	0.99908392	1.025	1.616	-0.591	Perovskite	
La(0.5)Sr(0.5)MnO(3+x)	{'La':0.5, 'Sr':0.5}	-	{'Mn':1}	La	-	Mn	1000	1.80E-15	1.80E-09	3.55E+00	2.23	0.261	-1	1.4	0.57	-0.04	0	Mn3+	4	0.997422142	1.025	1.55	-0.525	Perovskite	
PrBaCo_2O_(5+x)	{'Pr':1}	{'Ba':1}	{'Co':1}	Pr	Ba	Co	600	4.00E-08	3.4E-06	4.80E-01	0.68	0.962	0.66333	/	/	/	/	-	/	/	/	/	/	Double Perovskite	
