material,avg_m_no_oxygen,avg_r_no_oxygen,avg_r_diff,avg_m_w_oxygen,avg_r_w_oxygen,parent perovskite 1,parent perovskite 2,parent perovskite 3,parent perovskite 4,t_factor,a_site_electronegativity,b_site_electronegativity,electro_diff,T,family,sample_type,measurement_direction,Note,Direction,Substrate,measurement_type,d_star,k_star,ead,eak,First Author,Second Author,Year,DOI,HHI Production average - with oxygen,HHI Production average - without oxygen,HHI Reserve average - with oxygen,HHI Reserve average - without oxygen,Doping Group
GdBaCo_2O_(5+x),54.7,107,,103.1,166,,,,,,,,,1000,Double Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.80E-09,1.20E-06,0.6,0.81,Tarancon,Skinner,2007,10.1039/b704320a,-2355.555556,-4675,1477.777778,2700,
La_(0.8)Sr_(0.2)CoO_(3+x),47.1,102.2,1,93.8,165.5,LaCo,SrCo,,,0.984863968,1.07,1.88,-0.81,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.40E-10,1.80E-07,2.2,1.3,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-2608,-5770,1456,2890,
La_(0.8)Sr_(0.2)Mn_(0.5)Co_(0.5)O_(3+x),46.7,102.7,3.5,92.8,166.8,LaCo,LaMn,SrMn,SrCo,0.97821686,1.07,1.715,-0.645,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,5.90E-14,8.4E-09,2.7E+00,1.2,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-2458,-5395,1366,2665,
La_(0.8)Sr_(0.2)Mn_(0.7)Co_(0.3)O_(3+x),46.6,102.9,2.5,92.4,167.3,LaMn,LaCo,SrMn,SrCo,0.975558017,1.07,1.649,-0.579,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,6.30E-15,1.5E-09,3.0E+00,1.7,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-2398,-5245,1330,2575,
La_(0.8)Sr_(0.2)Mn_(0.8)Co_(0.2)O_(3+x),46.5,103,2,92.2,167.5,LaMn,LaCo,SrMn,SrCo,0.974228595,1.07,1.616,-0.546,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,6.20E-16,5.3E-10,3.5E+00,2.1,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-2368,-5170,1312,2530,
La_(0.8)Sr_(0.2)MnO_(3+x),46.3,103.2,1,91.8,168,LaMn,SrMn,,,0.971569752,1.07,1.55,-0.48,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,8.90E-16,1.5E-09,2.8E+00,1.3,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-2308,-5020,1276,2440,
La(0.5)Sr(0.5)CoO(3+x),44,102.5,2.5,86.1,166.3,LaCo,SrCo,,,1.005731028,1.025,1.88,-0.855,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.30E-08,5.60E-06,1.40E+00,0.81,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-2290,-4975,1450,2875,
La(0.5)Sr(0.5)Mn(0.8)Co(0.2)O(3+x),43.4,103.3,3.5,84.5,168.3,LaMn,LaCo,SrMn,SrCo,0.99908392,1.025,1.616,-0.591,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,5.90E-14,1.30E-08,2.94E+00,1.05,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-2050,-4375,1306,2515,
La(0.5)Sr(0.5)MnO(3+x),43.2,103.5,2.5,84.1,168.8,LaMn,SrMn,,,0.997422142,1.025,1.55,-0.525,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.80E-15,1.80E-09,3.55E+00,2.23,De Souza,Kilner,1999,10.1016/S0167-2738(99)00228-3,-1990,-4225,1270,2425,
PrBaCo_2O_(5+x),52.9,107,,99,167,,,,,,,,,600,Double Perovskite,Ceramic,bulk,,,,IEDP/SIMS,4.00E-08,3.4E-06,4.80E-01,0.68,Kim,Wang,1,10.1039/b618345j,-2355.555556,-4675,1477.777778,2700,
